iter	Passed	Remaining
0	2	201
1	4	217
2	6	196
3	8	205
4	10	201
5	12	196
6	14	191
7	16	187
8	18	185
9	22	203
10	24	201
11	29	214
12	31	211
13	34	209
14	38	218
15	40	213
16	42	207
17	44	202
18	45	195
19	47	188
20	48	182
21	50	179
22	52	175
23	53	170
24	55	165
25	56	160
26	57	156
27	59	152
28	60	148
29	62	144
30	63	141
31	65	139
32	66	135
33	68	132
34	69	129
35	71	126
36	72	123
37	74	120
38	75	118
39	77	116
40	79	114
41	81	111
42	82	109
43	84	107
44	86	105
45	88	103
46	90	102
47	92	99
48	94	98
49	95	95
50	97	93
51	98	91
52	100	88
53	101	86
54	103	84
55	104	82
56	106	80
57	108	78
58	110	77
59	113	75
60	115	74
61	117	72
62	119	70
63	123	69
64	127	68
65	131	67
66	133	65
67	136	64
68	138	62
69	142	61
70	145	59
71	147	57
72	150	55
73	152	53
74	155	51
75	158	50
76	160	47
77	162	45
78	163	43
79	165	41
80	166	39
81	168	36
82	170	34
83	172	32
84	174	30
85	176	28
86	178	26
87	179	24
88	181	22
89	182	20
90	184	18
91	186	16
92	189	14
93	191	12
94	193	10
95	195	8
96	197	6
97	199	4
98	201	2
99	204	0
