iter	Passed	Remaining
0	234	234624
1	244	121963
2	263	87655
3	267	66684
4	274	54528
5	283	46946
6	285	40453
7	286	35586
8	288	31804
9	290	28765
10	292	26261
11	293	24174
12	297	22575
13	299	21110
14	302	19854
15	304	18697
16	305	17659
17	306	16731
18	308	15903
19	309	15156
20	310	14493
21	313	13921
22	315	13382
23	316	12877
24	318	12410
25	319	11973
26	320	11565
27	322	11187
28	323	10833
29	330	10676
30	331	10368
31	333	10080
32	334	9808
33	336	9546
34	337	9301
35	340	9106
36	342	8917
37	344	8711
38	345	8514
39	347	8336
40	348	8161
41	350	7989
42	351	7825
43	354	7707
44	357	7577
45	358	7436
46	360	7300
47	361	7171
48	362	7044
49	364	6922
50	365	6803
51	368	6719
52	370	6624
53	372	6521
54	373	6419
55	375	6325
56	376	6230
57	377	6138
58	380	6062
59	383	6002
60	385	5930
61	386	5850
62	388	5774
63	389	5703
64	391	5638
65	393	5570
66	394	5500
67	398	5456
68	400	5405
69	402	5342
70	403	5281
71	404	5219
72	406	5167
73	408	5114
74	410	5059
75	413	5024
76	414	4973
77	416	4919
78	417	4867
79	418	4816
80	422	4794
81	424	4748
82	428	4731
83	429	4685
84	431	4640
85	432	4594
86	433	4552
87	435	4508
88	436	4466
89	437	4425
90	438	4384
91	440	4344
92	442	4313
93	443	4277
94	445	4242
95	447	4217
96	449	4185
97	450	4144
98	451	4112
99	453	4079
100	454	4048
101	457	4027
102	459	3997
103	460	3969
104	461	3935
105	463	3905
106	464	3877
107	466	3849
108	467	3820
109	468	3791
110	471	3778
111	473	3752
112	475	3728
113	476	3702
114	477	3675
115	478	3649
116	480	3624
117	481	3599
118	482	3575
119	484	3554
120	486	3534
121	488	3514
122	489	3492
123	491	3473
124	493	3455
125	495	3435
126	496	3415
127	498	3395
128	513	3467
129	522	3499
130	526	3493
131	528	3472
132	530	3456
133	532	3438
134	533	3419
135	535	3402
136	537	3384
137	539	3367
138	540	3349
139	542	3331
140	544	3316
141	546	3301
142	547	3283
143	550	3271
144	583	3440
145	585	3424
146	587	3408
147	589	3391
148	590	3375
149	593	3361
150	594	3344
151	597	3330
152	599	3316
153	600	3300
154	602	3284
155	604	3268
156	607	3259
157	608	3244
158	611	3232
159	613	3220
160	614	3204
161	616	3188
162	617	3171
163	618	3154
164	621	3145
165	623	3130
166	624	3115
167	626	3100
168	627	3086
169	629	3074
170	634	3077
171	641	3089
172	643	3076
173	645	3062
174	646	3049
175	648	3036
176	649	3021
177	651	3007
178	652	2994
179	655	2984
180	656	2971
181	658	2957
182	659	2943
183	660	2929
184	661	2916
185	663	2902
186	674	2932
187	676	2919
188	677	2906
189	678	2893
190	679	2879
191	681	2866
192	682	2853
193	685	2846
194	686	2834
195	688	2823
196	689	2812
197	691	2800
198	692	2788
199	694	2777
200	695	2765
201	697	2754
202	698	2742
203	700	2732
204	701	2722
205	705	2718
206	706	2708
207	708	2698
208	710	2690
209	714	2688
210	717	2681
211	720	2677
